Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EICHERMOT,EQ,3-Jan-18,28670.15,28850,29045,28542.15,28825.7,28814.35,28806.79,47088,1356454215,18492,21957,46.63
EICHERMOT,EQ,4-Jan-18,28814.35,28825.7,28957.6,28415,28614,28570.75,28651.31,49421,1415976510,16968,33712,68.21
EICHERMOT,EQ,5-Jan-18,28570.75,28797,29325,28686.2,29250,29237,29071.45,52777,1534303858,14445,31716,60.09
EICHERMOT,EQ,8-Jan-18,29237,29400,29400,29040.05,29190,29197.4,29221.97,32924,962104299.4,11785,23124,70.23
EICHERMOT,EQ,9-Jan-18,29197.4,29201,29241.65,28510.65,28611.8,28596.95,28675.53,82718,2371982541,19908,63855,77.2
EICHERMOT,EQ,10-Jan-18,28596.95,28620,28699.95,28000,28150,28097.5,28181.41,84202,2372930721,18209,57829,68.68
EICHERMOT,EQ,11-Jan-18,28097.5,28100,28525,27820.5,28500,28444.7,28081.01,60091,1687416228,18105,36501,60.74
EICHERMOT,EQ,12-Jan-18,28444.7,28520,28780,28211,28490,28649.75,28548.67,59657,1703128281,21201,31830,53.36
EICHERMOT,EQ,15-Jan-18,28649.75,28750,28750,27900,27912.3,27981.5,28082.95,57594,1617409181,18856,34351,59.64
EICHERMOT,EQ,16-Jan-18,27981.5,28010,28150,27701,27860,27891.2,27874.23,46537,1297182979,17923,26674,57.32
EICHERMOT,EQ,17-Jan-18,27891.2,27800,28301,27680.1,28200,28222.85,27937.28,47595,1329674960,22324,26003,54.63
EICHERMOT,EQ,18-Jan-18,28222.85,28228.85,28479,27811.05,27960,27954.4,28206.15,49399,1393355627,16426,23359,47.29
EICHERMOT,EQ,19-Jan-18,27954.4,27880,28188.35,27751,27982.25,28009.45,27984.68,32459,908354739.2,11040,17120,52.74
EICHERMOT,EQ,22-Jan-18,28009.45,28009.45,28097.75,27590,27649.9,27649.8,27758.94,34466,956739489.1,11480,21978,63.77
EICHERMOT,EQ,23-Jan-18,27649.8,27700,27829.45,27020,27025.05,27071.25,27255.07,117399,3199717901,29057,88211,75.14
EICHERMOT,EQ,24-Jan-18,27071.25,27006,27050,26302.15,26401,26404.05,26653.78,94058,2507001647,38909,64239,68.3
EICHERMOT,EQ,25-Jan-18,26404.05,26500,26730,26208.05,26566.05,26519.4,26500.88,175472,4650162581,37724,126210,71.93
EICHERMOT,EQ,29-Jan-18,26519.4,26730,27849,26566.05,27550,27453.65,27327.67,127423,3482173179,39226,74896,58.78
EICHERMOT,EQ,30-Jan-18,27453.65,27450,27453,26559,26675,26689.4,26854.57,141663,3804299060,35571,109329,77.18
EICHERMOT,EQ,31-Jan-18,26689.4,26827.3,27387,26525.15,26870,26923.6,26967.98,137766,3715271419,33017,96377,69.96
EICHERMOT,EQ,1-Feb-18,26923.6,26984,28300,26714.5,28210.05,28047.35,27583.44,125564,3463486566,39194,67281,53.58
